ID,L1,W1,L2,W2,
1, 4.43, 1.79, -0.40, 1.80,
2, 4.43, 1.79, -0.47, 1.80,
3, 4.43, 1.79, -0.49, 1.80,
4, 4.43, 1.79, -0.51, 1.80,
5, 4.43, 1.79, -0.51, 1.80,
6, 4.43, 1.79, -0.51, 1.80,
7, 4.43, 1.79, -0.51, 1.80,
8, 4.43, 1.79, -0.51, 1.80,
9, 4.43, 1.79, -0.51, 1.80,
10, 4.43, 1.79, -0.51, 1.80,
11, 4.43, 1.79, -0.51, 1.80,
12, 4.43, 1.79, -0.51, 1.80,
13, 4.43, 1.79, -0.51, 1.80,
14, 4.43, 1.79, -0.51, 1.80,
15, 4.43, 1.79, -0.51, 1.80,
16, 4.43, 1.79, -0.51, 1.80,
17, 4.43, 1.79, -0.51, 1.80,
18, 4.43, 1.79, -0.51, 1.80,
19, 4.43, 1.79, -0.51, 1.80,
20, 4.43, 1.79, -0.51, 1.80,
21, 4.43, 1.79, -0.51, 1.80,
22, 4.43, 1.79, -0.51, 1.80,
23, 4.43, 1.79, -0.51, 1.80,
24, 4.43, 1.79, -0.51, 1.80,
25, 4.43, 1.79, -0.51, 1.80,
26, 4.43, 1.79, -0.51, 1.80,
27, 4.43, 1.79, -0.51, 1.80,
28, 4.43, 1.79, -0.51, 1.80,
29, 4.51, 1.79, -0.51, 1.80,
30, 4.60, 1.79, -0.51, 1.80,
31, 4.66, 1.79, -0.51, 1.80,
32, 4.69, 1.79, -0.51, 1.80,
33, 4.70, 1.79, -0.51, 1.80,
34, 4.70, 1.79, -0.51, 1.81,
35, 4.70, 1.79, -0.51, 1.81,
36, 4.70, 1.79, -0.51, 1.81,
37, 4.70, 1.79, -0.51, 1.81,
38, 4.70, 1.79, -0.51, 1.81,
39, 4.70, 1.79, -0.51, 1.81,
40, 4.70, 1.79, -0.51, 1.81,
41, 4.70, 1.79, -0.51, 1.82,
42, 4.70, 1.79, -0.51, 1.84,
43, 4.70, 1.79, -0.51, 1.86,
44, 4.70, 1.79, -0.51, 1.87,
45, 4.70, 1.79, -0.51, 1.88,
46, 4.70, 1.79, -0.51, 1.89,
47, 4.70, 1.79, -0.51, 1.90,
48, 4.70, 1.79, -0.53, 1.94,
49, 4.70, 1.79, -0.53, 1.96,
50, 4.70, 1.79, -0.53, 1.99,
51, 4.70, 1.79, -0.53, 2.03,
52, 4.70, 1.79, -0.53, 2.05,
53, 4.70, 1.79, -0.53, 2.08,
54, 4.70, 1.79, -0.53, 2.11,
55, 4.70, 1.79, -0.53, 2.16,
56, 4.70, 1.79, -0.53, 2.22,
57, 4.70, 1.79, -0.53, 2.26,
58, 4.70, 1.79, -0.53, 2.33,
59, 4.70, 1.79, -0.53, 2.39,
60, 4.70, 1.79, -0.53, 2.46,
61, 4.70, 1.79, -0.53, 2.55,
62, 4.70, 1.79, -0.53, 2.63,
63, 4.70, 1.79, -0.53, 2.68,
64, 4.70, 1.79, -0.53, 2.76,
65, 4.70, 1.79, -0.53, 2.83,
66, 4.70, 1.79, -0.53, 2.89,
67, 4.70, 1.79, -0.53, 2.95,
68, 4.70, 1.79, -0.53, 3.02,
69, 4.70, 1.79, -0.53, 3.07,
70, 4.70, 1.79, -0.53, 3.12,
71, 4.70, 1.79, -0.53, 3.16,
72, 4.70, 1.79, -0.53, 3.27,
73, 4.70, 1.79, -0.53, 3.35,
74, 4.70, 1.79, -0.53, 3.40,
75, 4.70, 1.79, -0.53, 3.53,
76, 4.70, 1.79, -0.54, 3.72,
77, 4.70, 1.79, -0.54, 3.74,
78, 4.70, 1.79, -0.54, 3.78,
79, 4.70, 1.79, -0.54, 3.92,
80, 4.70, 1.79, -0.56, 4.13,
81, 4.70, 1.79, -0.56, 4.33,
82, 4.70, 1.79, -0.56, 4.43,
83, 4.70, 1.79, -0.56, 4.55,
84, 4.70, 1.79, -0.56, 4.66,
85, 4.70, 1.79, -0.56, 4.78,
86, 4.70, 1.79, -0.56, 4.92,
87, 4.70, 1.79, -0.56, 5.08,
88, 4.70, 1.79, -0.56, 5.33,
89, 4.70, 1.79, -0.56, 5.53,
90, 4.70, 1.79, -0.57, 5.57,
91, 4.70, 1.79, -0.57, 5.58,
92, 4.70, 1.79, -0.57, 5.60,
93, 4.70, 1.79, -0.57, 5.75,
94, 4.70, 1.79, -0.59, 5.96,
95, 4.70, 1.79, -0.59, 6.11,
96, 4.70, 1.79, -0.60, 6.23,
97, 4.70, 1.79, -0.63, 6.26,
98, 4.70, 1.79, -0.63, 6.27,
99, 4.70, 1.79, -0.63, 6.30,
100, 4.70, 1.79, -0.63, 6.36,
101, 4.70, 1.79, -0.65, 6.44,
102, 4.70, 1.79, -0.65, 6.54,
103, 4.70, 1.79, -0.66, 6.64,
104, 4.70, 1.79, -0.66, 6.76,
105, 4.70, 1.79, -0.69, 7.00,
106, 4.69, 1.79, -0.71, 7.21,
107, 4.69, 1.79, -0.71, 7.28,
108, 4.69, 1.79, -0.72, 7.29,
109, 4.69, 1.79, -0.72, 7.31,
110, 4.69, 1.79, -0.72, 7.37,
111, 4.69, 1.79, -0.72, 7.41,
112, 4.70, 1.79, -0.72, 7.47,
113, 4.70, 1.79, -0.72, 7.51,
114, 4.70, 1.79, -0.72, 7.57,
115, 4.70, 1.79, -0.72, 7.60,
116, 4.70, 1.79, -0.72, 7.65,
117, 4.70, 1.79, -0.75, 7.69,
118, 4.70, 1.79, -0.75, 7.70,
119, 4.35, 1.79, -0.75, 7.71,
120, 4.06, 1.79, -0.75, 7.72,
121, 3.98, 1.79, -0.75, 7.72,
122, 3.98, 1.79, -0.76, 7.77,
123, 4.00, 1.79, -0.79, 7.92,
124, 4.00, 1.79, -0.79, 8.06,
125, 4.00, 1.79, -0.79, 8.08,
126, 4.00, 1.79, -0.79, 8.12,
127, 4.00, 1.79, -0.79, 8.20,
128, 4.00, 1.79, -0.79, 8.28,
129, 3.85, 1.79, -0.79, 8.36,
130, 3.85, 1.79, -0.79, 8.41,
131, 3.84, 1.79, -0.79, 8.46,
132, 3.85, 1.79, -0.79, 8.54,
133, 3.85, 1.79, -0.79, 8.63,
134, 3.85, 1.79, -0.79, 8.72,
135, 3.85, 1.79, -0.79, 8.77,
136, 3.85, 1.79, -0.79, 8.80,
137, 3.85, 1.79, -0.79, 8.86,
138, 3.98, 1.79, -0.79, 8.92,
139, 3.98, 1.79, -0.79, 8.98,
140, 3.98, 1.79, -0.79, 9.04,
141, 4.00, 1.79, -0.79, 9.09,
142, 4.00, 1.79, -0.79, 9.15,
143, 4.01, 1.79, -0.79, 9.24,
144, 4.01, 1.79, -0.79, 9.33,
145, 4.04, 1.79, -0.79, 9.43,
146, 4.12, 1.79, -0.79, 9.49,
147, 4.12, 1.79, -0.79, 9.52,
148, 4.13, 1.79, -0.79, 9.57,
149, 4.13, 1.79, -0.79, 9.61,
150, 4.13, 1.79, -0.79, 9.65,
151, 4.13, 1.79, -0.79, 9.69,
152, 4.13, 1.79, -0.79, 9.74,
153, 4.15, 1.79, -0.79, 9.77,
154, 4.25, 1.79, -0.79, 9.77,
155, 4.48, 1.79, -0.79, 9.77,
156, 4.37, 1.79, -0.81, 9.77,
157, 4.37, 1.79, -0.81, 9.77,
158, 4.37, 1.79, -0.81, 9.78,
159, 4.37, 1.79, -0.81, 9.78,
160, 4.37, 1.79, -0.81, 9.79,
161, 4.37, 1.79, -0.81, 9.82,
162, 4.37, 1.79, -0.81, 9.85,
163, 4.37, 1.79, -0.82, 9.87,
164, 4.37, 1.79, -0.82, 9.91,
165, 4.37, 1.79, -0.82, 9.95,
166, 4.37, 1.79, -0.82, 9.98,
167, 4.37, 1.79, -0.90, 10.00,
168, 4.37, 1.79, -0.90, 10.01,
169, 4.37, 1.79, -0.90, 10.02,
170, 4.37, 1.79, -0.90, 10.02,
171, 4.37, 1.79, -0.90, 10.04,
172, 4.37, 1.79, -0.90, 10.06,
173, 4.37, 1.79, -0.90, 10.08,
174, 4.37, 1.79, -0.90, 10.10,
175, 4.37, 1.79, -0.91, 10.11,
176, 4.37, 1.79, -0.91, 10.13,
177, 4.37, 1.79, -0.91, 10.15,
178, 4.37, 1.79, -0.91, 10.16,
179, 4.38, 1.79, -0.91, 10.17,
180, 4.38, 1.79, -0.91, 10.18,
181, 4.38, 1.79, -0.91, 10.20,
182, 4.38, 1.79, -0.91, 10.21,
183, 4.38, 1.79, -0.93, 10.23,
184, 4.40, 1.79, -0.93, 10.24,
185, 4.45, 1.79, -0.93, 10.27,
186, 4.59, 1.79, -0.93, 10.28,
187, 4.59, 1.79, -0.93, 10.28,
188, 4.66, 1.79, -0.93, 10.29,
189, 4.82, 1.79, -0.93, 10.29,
190, 5.00, 1.79, -0.93, 10.28,
191, 6.41, 1.79, -0.93, 10.28,
192, 6.44, 1.79, -0.93, 10.28,
193, 6.44, 1.79, -0.94, 10.28,
194, 6.48, 1.79, -0.94, 10.28,
195, 6.48, 1.79, -0.94, 10.28,
196, 6.48, 1.79, -0.99, 10.28,
197, 6.48, 1.79, -1.00, 10.28,
198, 6.48, 1.79, -1.01, 10.28,
199, 6.48, 1.79, -1.01, 10.28,
200, 6.48, 1.79, -1.04, 10.28,
201, 6.48, 1.79, -1.09, 10.30,
202, 6.48, 1.79, -1.10, 10.32,
203, 6.48, 1.79, -1.10, 10.33,
204, 6.48, 1.79, -1.10, 10.33,
205, 6.48, 1.79, -1.10, 10.33,
206, 6.50, 1.79, -1.10, 10.33,
207, 6.50, 1.79, -1.10, 10.33,
208, 6.50, 1.79, -1.10, 10.33,
209, 6.50, 1.79, -1.10, 10.33,
210, 6.50, 1.79, -1.10, 10.33,
211, 6.50, 1.79, -1.10, 10.33,
212, 6.50, 1.79, -1.10, 10.33,
213, 6.50, 1.79, -1.12, 10.33,
214, 6.50, 1.79, -1.12, 10.33,
215, 6.50, 1.79, -1.12, 10.32,
216, 6.50, 1.79, -1.12, 10.32,
217, 6.50, 1.79, -1.12, 10.32,
218, 6.50, 1.79, -1.12, 10.32,
219, 6.50, 1.79, -1.12, 10.32,
220, 6.50, 1.79, -1.12, 10.32,
221, 6.50, 1.79, -1.12, 10.32,
222, 6.50, 1.79, -1.12, 10.32,
223, 6.50, 1.79, -1.12, 10.32,
224, 6.50, 1.79, -1.12, 10.32,
225, 6.50, 1.79, -1.12, 10.32,
226, 6.50, 1.79, -1.12, 10.32,
227, 6.50, 1.79, -1.15, 10.32,
228, 6.50, 1.79, -1.16, 10.32,
229, 6.50, 1.79, -1.16, 10.32,
230, 6.50, 1.79, -1.18, 10.32,
231, 6.50, 1.79, -1.19, 10.32,
232, 6.50, 1.79, -1.19, 10.32,
233, 6.50, 1.79, -1.19, 10.32,
234, 6.50, 1.79, -1.19, 10.32,
235, 6.50, 1.79, -1.19, 10.32,
236, 6.50, 1.79, -1.19, 10.32,
237, 6.50, 1.79, -1.19, 10.32,
238, 6.50, 1.79, -1.19, 10.32,
239, 6.50, 1.79, -1.21, 10.30,
240, 6.50, 1.79, -1.21, 10.30,
241, 6.50, 1.79, -1.21, 10.28,
242, 6.50, 1.79, -1.22, 10.28,
243, 6.50, 1.79, -1.22, 10.28,
244, 6.50, 1.79, -1.24, 10.26,
245, 6.50, 1.79, -1.24, 10.26,
246, 6.50, 1.79, -1.24, 10.26,
247, 6.50, 1.79, -1.25, 10.26,
248, 6.50, 1.79, -1.25, 10.26,
249, 6.50, 1.79, -1.25, 10.26,
250, 6.50, 1.79, -1.25, 10.26,
251, 6.51, 1.79, -1.25, 10.26,
252, 6.53, 1.79, -1.25, 10.26,
253, 6.59, 1.79, -1.25, 10.26,
254, 6.59, 1.79, -1.26, 10.26,
255, 6.59, 1.79, -1.26, 10.26,
256, 6.94, 1.79, -1.26, 10.26,
257, 6.94, 1.79, -1.26, 10.26,
258, 7.28, 1.79, -1.28, 10.26,
259, 7.28, 1.79, -1.29, 10.26,
260, 7.28, 1.79, -1.29, 10.26,
261, 7.28, 1.79, -1.29, 10.26,
262, 7.28, 1.79, -1.31, 10.26,
263, 7.28, 1.79, -1.32, 10.26,
264, 7.26, 1.79, -1.34, 10.26,
265, 7.26, 1.79, -1.34, 10.26,
266, 7.26, 1.79, -1.34, 10.26,
267, 7.26, 1.79, -1.34, 10.26,
268, 7.26, 1.79, -1.35, 10.26,
269, 7.26, 1.79, -1.37, 10.26,
270, 7.26, 1.79, -1.37, 10.26,
271, 7.26, 1.79, -1.37, 10.26,
272, 7.26, 1.79, -1.37, 10.26,
273, 7.26, 1.79, -1.37, 10.26,
274, 7.26, 1.79, -1.37, 10.26,
275, 7.26, 1.79, -1.37, 10.28,
276, 7.26, 1.79, -1.38, 10.33,
277, 7.26, 1.79, -1.38, 10.36,
278, 7.26, 1.79, -1.38, 10.39,
279, 7.26, 1.79, -1.41, 10.40,
280, 7.26, 1.79, -1.43, 10.41,
281, 7.26, 1.79, -1.44, 10.41,
282, 7.26, 1.79, -1.44, 10.41,
283, 7.26, 1.79, -1.44, 10.42,
284, 7.26, 1.79, -1.44, 10.42,
285, 7.26, 1.79, -1.44, 10.43,
286, 7.26, 1.79, -1.44, 10.44,
287, 7.26, 1.79, -1.44, 10.46,
288, 7.26, 1.79, -1.44, 10.47,
289, 7.26, 1.79, -1.44, 10.48,
290, 7.26, 1.79, -1.44, 10.49,
291, 7.26, 1.79, -1.44, 10.51,
292, 7.26, 1.79, -1.44, 10.52,
293, 7.26, 1.79, -1.44, 10.52,
294, 7.26, 1.79, -1.44, 10.52,
295, 7.26, 1.79, -1.44, 10.52,
296, 7.26, 1.79, -1.44, 10.52,
297, 7.26, 1.79, -1.44, 10.52,
298, 7.26, 1.79, -1.44, 10.52,
299, 7.26, 1.79, -1.44, 10.52,
300, 7.26, 1.79, -1.46, 10.53,
301, 7.26, 1.79, -1.46, 10.56,
302, 7.26, 1.79, -1.46, 10.58,
303, 7.26, 1.79, -1.46, 10.59,
304, 7.26, 1.79, -1.46, 10.59,
305, 7.26, 1.79, -1.46, 10.59,
306, 7.26, 1.79, -1.46, 10.59,
307, 7.26, 1.79, -1.46, 10.59,
308, 7.26, 1.79, -1.46, 10.60,
309, 7.26, 1.79, -1.46, 10.61,
310, 7.26, 1.79, -1.46, 10.61,
311, 7.26, 1.79, -1.46, 10.61,
312, 7.26, 1.79, -1.46, 10.61,
313, 7.26, 1.79, -1.46, 10.61,
314, 7.26, 1.79, -1.46, 10.61,
315, 7.26, 1.79, -1.46, 10.61,
316, 7.26, 1.79, -1.46, 10.61,
317, 7.26, 1.79, -1.46, 10.61,
318, 7.26, 1.79, -1.46, 10.61,
319, 7.26, 1.79, -1.46, 10.61,
320, 7.25, 1.79, -1.46, 10.61,
321, 7.25, 1.79, -1.46, 10.61,
322, 7.25, 1.79, -1.46, 10.61,
323, 7.25, 1.79, -1.46, 10.61,
324, 7.25, 1.79, -1.46, 10.61,
325, 7.25, 1.79, -1.46, 10.61,
326, 7.25, 1.79, -1.46, 10.61,
327, 7.25, 1.79, -1.46, 10.61,
328, 7.25, 1.79, -1.46, 10.61,
329, 7.25, 1.79, -1.46, 10.61,
330, 7.25, 1.79, -1.46, 10.61,
331, 7.25, 1.79, -1.46, 10.61,
332, 7.25, 1.79, -1.46, 10.61,
333, 7.25, 1.79, -1.46, 10.61,
334, 7.25, 1.79, -1.46, 10.65,
335, 7.25, 1.79, -1.46, 10.66,
336, 7.25, 1.79, -1.46, 10.66,
337, 7.25, 1.79, -1.46, 10.67,
338, 7.25, 1.79, -1.46, 10.68,
339, 7.25, 1.79, -1.46, 10.68,
340, 7.25, 1.79, -1.46, 10.68,
341, 7.25, 1.79, -1.46, 10.69,
342, 7.25, 1.79, -1.46, 10.69,
343, 7.25, 1.78, -1.46, 10.69,
344, 7.25, 1.78, -1.46, 10.69,
345, 7.25, 1.78, -1.46, 10.69,
346, 7.25, 1.78, -1.46, 10.69,
