L;W
0;65
20;76.65
40;88.2
60;98.5
80;104.5
100;108.65
120;111.14
140;112.5
160;113
180;112.75
200;111.7
220;110.7
240;110.1
260;106.46
280;104.5
300;103
320;101.2
340;99.9
360;98.32
380;96.95
400;95.5
420;94.25
440;92.1
460;91.8
480;90.6
500;89.5
520;88.5
540;87.3
560;86.3
580;85.2
600;84.3
620;83.4
640;82.8
660;82
680;81.33
700;80.5
720;80
740;79.5
760;79
780;78.5
800;78
820;77.6
840;77.3
860;77
880;76.75
900;76.66
920;76.4
940;76.32
960;76.25
980;76.2
1000;76.25
1020;76.35
1040;76.44
1060;76.6
1080;76.9
1100;77.1
1120;77.3
1140;77.7
1160;78
1180;78.6
1200;79.15
1220;79.8
1240;80.3
1260;81
1280;81.8
1300;82.5
1320;83.3
1340;84.2
1360;85.2
1380;86.1
1400;87
1420;88
1440;89.1
1460;90.2
1480;91.5
1500;92.8
1520;94.4
1540;95.6
1560;96.8
1580;98
1600;99.36
1620;98.36
1640;97.4
1660;79.9
1680;64.36
